latitude,longitude,acq_date
-10.63095,-53.69941,2024-10-03
-18.76563,34.82502,2024-09-30
-14.85684,29.50888,2024-10-01
-10.2085,34.57466,2024-10-02
-12.77188,141.81587,2024-10-02
30.44962,117.2364,2024-10-01
15.02064,-86.94398,2024-10-02
38.9164,106.43691,2024-10-01
-14.25721,-63.32413,2024-10-03
-12.54738,141.80473,2024-10-01
-10.09202,120.20271,2024-10-02
-17.3728,-59.96761,2024-10-02
31.18141,113.61427,2024-10-03
-15.84756,40.0833,2024-10-01
-11.43227,142.20129,2024-10-03
-5.33388,-47.90041,2024-09-30
-14.89139,21.90499,2024-09-30
-5.2276,37.36039,2024-10-02
-10.65517,36.47956,2024-10-01
-14.95702,132.22171,2024-10-03
30.35457,73.53741,2024-10-03
-22.52281,46.46392,2024-10-01
52.3491,33.38814,2024-10-01
-9.31438,124.55444,2024-09-30
-29.18657,-60.81967,2024-10-02
-16.12304,36.77819,2024-09-30
-14.89353,-62.6763,2024-10-02
-14.11254,17.4553,2024-10-01
-25.42075,-60.13546,2024-10-03
-15.73188,37.75602,2024-09-30
44.19103,44.54813,2024-10-01
15.26917,32.36647,2024-10-03
-15.61621,37.39039,2024-09-30
0.37528,29.49356,2024-10-02
50.02134,37.96875,2024-10-02
-20.00984,24.16174,2024-10-02
-23.82884,33.43036,2024-10-03
-15.42619,31.84971,2024-09-30
44.81411,-115.01714,2024-10-02
48.5135,37.84111,2024-10-02
-8.35277,-71.05054,2024-10-02
-17.98436,-59.45135,2024-10-02
43.95226,-122.2454,2024-10-01
-15.00756,-61.98327,2024-10-01
-15.56631,136.22804,2024-09-30
-14.5932,-62.37288,2024-10-01
-8.61224,125.56622,2024-10-01
49.55178,37.88091,2024-10-02
-16.68964,136.58488,2024-10-03
-5.25578,35.8622,2024-10-02
-13.22445,-67.89001,2024-10-02
-16.92034,30.96415,2024-10-02
34.16272,-117.00472,2024-09-30
-13.1294,18.21402,2024-10-01
-10.75128,31.84061,2024-09-30
-17.51072,35.47976,2024-10-01
-21.38308,-48.83353,2024-10-02
-12.16454,35.89503,2024-10-01
4.5915,-54.39079,2024-10-01
-15.33455,-47.56543,2024-09-30
-14.91565,-62.31255,2024-10-01
-4.43836,32.72129,2024-10-03
-18.78531,32.95957,2024-09-30
-13.27526,-65.83097,2024-09-30
-12.8007,13.874,2024-09-30
-18.75027,33.46045,2024-09-30
-20.22154,134.5051,2024-10-02
-0.36236,38.06314,2024-10-02
-16.44696,-61.67346,2024-10-01
-17.25436,36.29789,2024-10-01
-11.08881,-49.59162,2024-10-03
-14.6745,-64.64038,2024-09-30
-12.10163,135.70801,2024-09-30
-14.76079,21.23171,2024-10-02
-8.459,-62.7143,2024-10-02
44.32813,-119.65441,2024-10-01
-11.74104,16.81302,2024-09-30
-13.73075,36.98015,2024-10-01
60.80009,97.23653,2024-10-01
-12.61788,16.74724,2024-10-01
-18.58474,34.98423,2024-09-30
-12.85051,-69.60071,2024-10-02
-24.15358,-55.70574,2024-10-01
-12.92166,-51.19525,2024-10-01
50.00826,36.56694,2024-10-02
-11.54658,142.37291,2024-10-03
-9.09712,36.33771,2024-10-01
-9.21454,-78.40656,2024-10-01
-14.21533,136.62315,2024-10-03
-18.85529,-54.4822,2024-10-03
30.42206,47.44364,2024-10-02
-9.17464,141.27455,2024-10-03
-8.5144,36.24839,2024-10-02
-25.30336,29.29214,2024-09-30
-14.4667,36.67788,2024-09-30
33.79791,48.44396,2024-10-02
22.26283,-97.80871,2024-10-01
-18.24989,36.19656,2024-09-30
-11.01333,35.71566,2024-09-30
-21.07527,34.9118,2024-09-30
11.13799,-68.69456,2024-09-30
-7.85266,-38.84729,2024-10-01
